pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.99,107.04,46759.92,13.23,180.99,468.85,24.45,63.01,3.79,0
6.15,275.5,15517.58,14.13,330.53,991.72,27.62,14.67,3.17,1
7.66,190.68,39203.6,11.09,365.5,525.05,23.18,60.88,3.67,0
6.02,178.86,38410.0,1.3,166.46,598.45,25.03,56.08,4.27,0
7.17,208.89,34736.95,10.04,239.06,576.8,8.06,95.73,2.5,0
5.43,217.45,48299.13,6.15,241.1,389.56,9.38,49.04,4.39,1
5.94,95.79,19980.99,7.06,362.07,167.52,7.84,118.08,1.65,1
7.16,230.18,6970.51,0.74,328.84,906.09,23.42,29.88,2.08,0
7.59,133.22,33749.59,2.87,253.92,822.41,28.54,75.01,1.17,1
7.14,237.07,36600.84,11.86,301.22,225.57,22.07,19.87,2.46,1
6.91,260.96,28965.5,6.81,354.21,799.09,26.68,90.73,2.52,0
6.76,256.87,10737.49,4.52,102.86,663.26,19.88,119.42,4.22,0
5.82,201.55,25470.57,5.76,220.87,468.23,12.85,100.11,3.61,0
6.42,194.44,15953.39,12.82,372.17,328.62,13.92,71.13,2.75,1
6.63,111.43,21659.59,11.23,322.09,873.76,4.11,63.32,3.61,0
7.85,250.58,32438.32,4.08,262.85,730.17,2.88,101.85,1.21,1
7.27,139.71,37388.13,1.76,258.89,592.97,21.47,112.96,1.72,1
5.59,189.27,11995.12,3.78,204.33,648.61,14.28,118.81,3.51,1
7.26,142.54,20563.61,13.81,256.16,181.96,17.46,53.62,3.57,0
6.69,109.44,13823.5,8.72,296.61,526.53,17.61,119.0,4.1,0
6.46,218.5,10332.26,8.0,225.51,274.33,9.77,27.15,2.61,1
7.49,91.95,39277.67,8.95,314.25,287.55,15.32,37.89,3.89,1
7.82,244.7,45508.01,5.49,358.37,695.17,15.18,19.79,3.74,0
7.75,149.87,18826.49,12.11,146.41,920.13,12.88,39.89,4.85,0
6.33,80.03,37688.31,7.85,235.46,463.38,24.98,94.47,1.86,0
6.75,192.45,44901.27,1.75,222.41,286.97,14.63,103.82,3.21,0
7.27,90.31,42383.15,1.94,306.24,683.87,18.9,95.68,3.41,0
7.78,140.76,9549.26,8.05,174.96,884.07,27.07,79.42,4.99,0
6.62,235.53,47836.45,14.05,292.08,773.49,26.25,66.54,1.8,0
6.85,93.79,19145.48,4.63,363.25,881.88,26.93,87.96,3.09,0
6.11,264.65,17292.41,13.04,225.44,582.9,9.56,52.99,2.38,0
6.04,80.84,3590.35,11.46,373.3,776.69,2.98,102.54,3.1,1
7.65,134.3,24565.6,3.72,397.95,226.06,9.31,84.49,1.93,0
8.08,243.0,5896.17,0.55,131.83,413.45,9.8,86.76,1.19,0
6.94,149.58,12802.72,1.53,169.92,450.59,27.46,68.95,3.29,1
7.8,102.42,16188.66,10.93,385.11,560.17,20.18,107.38,2.34,0
7.29,159.25,40536.9,3.0,387.5,936.17,4.29,37.72,1.73,0
6.48,139.49,43836.69,5.57,129.31,886.87,5.79,51.93,2.3,1
7.29,265.4,15472.08,7.53,104.5,221.07,6.36,95.54,1.2,0
8.23,148.94,43005.56,10.88,148.33,255.51,19.65,64.2,4.8,1
6.97,253.57,42932.93,1.7,398.8,421.88,22.59,107.81,3.32,1
8.25,276.21,38350.22,6.1,154.0,361.67,26.07,48.1,4.26,0
4.9,175.44,7761.41,7.28,250.76,653.29,28.34,50.63,2.69,1
7.66,280.19,34670.98,8.11,354.53,912.5,7.65,107.76,4.61,1
7.07,163.01,47278.69,12.28,106.12,966.06,10.67,61.08,2.93,1
6.76,292.1,34285.75,2.58,281.35,688.24,8.73,66.77,3.3,1
7.07,99.64,16915.03,12.12,183.11,854.34,12.05,46.6,2.97,0
5.41,231.14,25278.68,10.39,358.7,572.68,27.61,40.43,3.93,1
6.82,188.64,32463.39,8.34,185.04,287.49,18.1,82.15,3.27,1
7.29,165.28,25773.24,10.49,306.03,572.22,22.67,23.18,2.09,0
8.18,219.2,6437.67,6.18,302.27,599.57,15.72,106.72,1.58,1
6.59,234.85,15947.17,2.08,166.45,768.21,2.81,95.71,3.42,0
6.35,80.96,40218.6,9.99,110.44,297.89,3.8,30.98,2.96,1
6.6,116.73,43140.19,7.87,222.77,431.48,17.06,86.34,1.38,0
7.73,236.87,7296.35,9.59,186.76,427.62,22.13,76.29,2.58,1
7.26,226.6,47643.14,5.07,342.69,963.5,8.03,30.3,3.06,0
6.58,292.53,16776.72,13.6,340.11,499.55,22.21,40.05,4.31,1
7.41,247.43,33284.53,8.81,237.11,779.58,24.7,54.99,1.3,0
7.08,289.17,37715.34,1.28,281.95,775.73,13.53,86.92,2.39,0
7.77,234.56,40691.34,6.75,281.28,338.99,22.9,80.26,4.29,0
6.44,145.57,47314.61,11.35,348.15,614.68,13.31,68.55,3.59,0
6.74,103.18,15989.52,11.91,227.5,904.87,20.99,94.53,2.16,0
6.69,252.0,42996.07,7.42,182.63,527.68,23.39,93.37,4.38,1
5.83,221.71,7018.5,13.42,179.51,950.61,29.77,77.96,2.97,1
7.24,90.6,35399.52,4.02,260.86,293.01,11.67,96.57,2.99,0
7.21,159.21,37227.9,6.16,234.74,166.74,13.51,46.77,4.91,0
7.0,290.5,34047.3,13.48,232.04,902.31,6.64,106.94,4.79,1
6.81,190.09,12989.58,13.44,127.34,862.91,7.71,77.64,2.43,1
5.87,175.2,43715.64,10.29,315.58,993.33,21.42,100.46,1.56,0
6.66,180.69,8858.49,12.88,164.12,711.45,27.68,70.09,2.3,1
6.73,125.95,3154.92,1.33,159.09,943.02,13.05,34.03,1.12,0
6.36,161.12,36014.52,12.97,223.83,844.25,7.04,69.67,1.08,0
6.87,161.36,24036.05,4.81,168.33,859.98,9.98,50.82,2.58,0
7.32,91.52,42530.35,2.67,275.16,612.23,14.74,86.72,4.76,1
8.51,248.86,19478.16,3.59,211.44,444.13,10.14,62.34,4.49,0
7.14,171.63,8829.79,6.27,234.67,941.1,8.54,101.97,3.05,1
7.21,260.88,41903.89,3.77,261.15,488.91,22.61,84.59,3.26,1
6.94,267.08,27671.03,4.81,161.06,584.94,2.22,85.3,1.02,1
5.46,126.64,9865.19,2.02,146.73,501.5,17.1,33.89,1.86,1
6.98,224.62,36159.01,4.44,364.13,608.34,24.23,118.27,1.1,0
7.05,183.9,25800.13,8.58,230.12,523.45,9.45,102.58,4.02,0
8.97,273.63,30413.49,6.63,223.63,143.17,18.89,96.79,1.58,1
6.85,127.46,23314.47,5.2,110.68,893.84,20.73,46.32,4.48,0
7.24,229.12,41521.09,11.2,249.39,499.95,20.34,68.92,3.57,1
6.97,213.71,41563.35,13.4,266.25,630.05,14.48,25.08,1.92,0
6.07,144.97,35614.75,11.35,267.65,225.27,11.7,69.23,1.63,0
7.91,110.05,5717.37,4.98,312.11,103.05,25.41,26.05,3.51,0
7.6,223.36,42023.27,11.17,153.24,320.76,23.24,70.83,4.6,0
7.63,242.49,33715.14,2.28,175.67,734.13,11.0,81.36,3.87,0
6.27,149.44,35002.7,1.95,343.22,189.28,4.88,52.92,2.39,0
8.12,221.86,18467.65,5.18,384.15,918.0,4.01,64.84,3.35,1
5.88,166.93,44024.34,12.12,140.78,293.52,4.64,106.32,2.24,0
7.47,236.91,36405.89,3.7,249.29,284.13,18.32,21.94,5.0,0
8.75,123.83,6073.23,0.95,164.25,263.36,3.45,97.09,4.0,0
6.21,275.85,20685.01,1.98,118.02,112.58,11.43,28.78,3.46,1
6.55,143.23,44375.83,12.88,197.65,794.62,23.09,14.04,2.69,0
7.08,160.91,2836.24,9.51,143.11,887.53,10.24,30.41,3.47,0
6.6,92.78,48090.12,3.8,312.98,652.75,23.37,94.15,2.37,0
5.76,104.53,34118.55,8.33,260.12,269.38,22.87,54.56,1.12,1
7.05,193.49,31753.11,7.91,143.15,356.75,8.88,105.98,2.58,0
6.15,138.87,13892.68,9.83,102.77,528.33,22.41,67.72,4.72,1
7.38,263.81,12815.19,3.5,342.45,958.91,22.94,12.45,3.51,1
6.26,83.23,47131.88,12.97,152.86,322.62,13.13,88.84,1.34,0
8.24,163.4,15264.49,4.64,281.86,758.48,7.89,22.13,4.54,0
6.37,154.22,38887.51,10.41,201.08,495.5,16.6,96.83,2.08,1
6.74,84.25,19959.53,0.24,275.65,368.06,27.8,28.49,1.98,1
7.65,107.36,7393.08,5.59,194.7,510.32,19.91,48.0,2.19,0
6.02,171.0,1030.41,5.28,126.08,164.09,6.84,93.74,3.31,0
7.18,188.43,27440.74,8.15,166.89,818.82,21.12,114.97,3.18,1
8.05,168.94,48801.05,1.09,156.42,318.97,13.96,50.86,2.97,1
5.71,196.81,18772.24,11.85,228.41,752.87,18.56,101.23,3.87,1
7.15,210.93,18181.02,3.27,297.49,161.51,22.55,30.99,2.27,1
7.21,82.18,17532.54,10.16,179.14,959.59,16.42,98.79,4.13,0
7.63,182.1,26266.92,12.05,103.62,273.71,24.79,82.32,1.7,1
6.01,291.97,22312.91,8.43,255.68,894.47,22.22,31.2,4.13,0
5.94,194.19,44055.77,11.11,281.73,828.53,19.22,43.28,3.66,1
7.42,229.06,25523.28,9.93,388.86,971.07,6.22,24.49,3.73,1
7.24,148.61,25634.01,5.33,276.84,530.1,25.41,52.13,2.93,0
7.2,250.28,7349.39,12.13,241.35,754.66,28.21,32.4,3.67,0
7.28,250.04,49145.61,4.42,272.02,433.64,5.84,80.84,1.32,0
6.46,194.69,12873.66,8.57,378.37,265.93,15.67,119.4,4.41,0
7.19,294.72,4131.52,11.18,348.51,498.77,9.25,11.32,1.22,1
7.23,107.62,33325.74,5.68,196.89,249.17,23.13,69.5,1.59,0
6.43,83.73,29970.64,4.54,171.18,983.84,22.21,73.1,3.31,0
8.49,249.43,21049.71,6.89,178.79,186.62,5.94,110.56,3.96,0
7.38,257.57,21398.52,12.27,251.33,630.29,26.56,65.66,1.31,1
6.05,106.45,39360.66,13.95,323.21,663.82,7.07,69.81,4.68,1
7.53,138.43,10187.78,8.18,250.97,584.27,24.32,61.88,4.89,0
6.22,83.86,41102.54,9.92,120.34,695.97,14.8,39.58,3.42,1
7.63,144.53,32612.98,13.55,317.07,204.56,11.19,16.16,2.92,1
7.93,250.09,21239.0,1.48,341.79,599.52,6.43,54.95,3.97,0
6.34,193.95,23172.42,3.48,186.85,358.49,6.69,15.79,2.31,1
7.77,156.58,13204.04,10.63,299.24,946.16,20.53,70.55,2.97,0
7.33,161.78,37729.66,12.36,227.98,785.86,17.41,43.8,4.66,0
7.66,80.3,25887.3,12.86,366.74,975.26,5.42,68.7,4.82,0
8.52,145.96,16382.3,6.23,353.57,133.8,5.16,24.77,4.71,1
6.8,222.22,30004.48,1.34,257.63,356.62,4.02,112.59,2.05,0
6.4,294.32,49788.86,6.57,307.45,275.88,22.83,108.4,1.93,1
6.29,266.35,22045.48,3.46,365.0,110.04,21.93,30.9,2.19,1
6.35,85.19,46074.22,4.37,248.72,318.09,3.64,47.78,2.77,1
6.94,277.68,17578.33,11.58,193.98,710.9,17.69,77.48,2.26,1
7.27,252.3,3209.27,1.13,326.1,307.98,4.37,20.53,2.5,0
7.22,251.68,10609.98,12.41,166.02,558.1,27.3,49.0,3.48,0
7.66,180.76,21225.41,6.42,216.56,899.04,27.4,37.62,4.05,1
7.01,167.56,11371.93,8.94,359.72,724.38,21.55,110.71,3.94,0
8.16,146.64,511.24,1.34,317.33,455.17,27.93,103.78,4.26,1
6.79,94.45,45792.58,5.06,221.14,435.22,24.72,73.78,1.13,1
9.18,130.21,42272.03,1.35,164.42,510.16,25.2,67.24,1.19,0
7.5,134.25,37243.47,14.42,206.79,259.34,17.95,112.38,4.16,1
6.31,186.5,8806.82,12.11,185.23,670.6,10.57,112.57,3.13,0
6.14,244.44,6458.0,6.89,152.83,427.74,8.1,116.63,3.31,1
7.39,184.24,3846.44,3.35,323.0,867.13,11.16,23.79,1.21,1
6.82,92.73,36339.44,14.0,175.62,780.9,19.6,27.66,2.02,1
7.57,290.71,46475.99,5.17,236.25,649.46,6.83,84.44,3.55,1
7.38,287.4,21811.52,2.41,215.76,427.78,9.24,69.56,4.44,0
6.94,252.74,6397.46,8.45,394.62,288.94,15.11,12.03,4.67,1
6.32,298.09,25863.44,14.16,217.33,798.54,8.53,16.82,3.0,1
5.79,199.79,17767.18,0.06,123.99,537.77,18.48,107.69,3.18,0
6.64,291.81,19053.83,3.57,126.95,302.28,27.85,105.58,4.33,1
7.69,96.63,31255.87,14.08,277.23,275.66,22.95,49.3,3.15,1
7.17,160.45,36076.55,2.57,279.81,248.86,20.66,108.02,3.07,1
6.0,129.58,5974.88,1.7,225.63,799.45,18.32,75.3,4.62,1
7.14,123.08,2261.72,8.55,229.55,306.09,15.66,98.65,4.16,1
7.31,110.98,49719.35,12.93,116.18,573.98,7.22,57.02,4.64,1
6.29,216.93,12020.05,7.16,254.96,506.39,27.05,22.47,1.87,0
7.12,251.89,3164.61,14.92,251.42,621.65,8.96,57.71,3.1,1
7.05,207.23,9898.83,10.19,144.86,889.44,4.56,60.3,4.37,0
6.09,112.33,2428.41,1.11,131.15,880.97,23.0,70.6,1.44,1
7.29,258.45,19894.64,14.89,137.07,505.97,6.92,21.61,4.18,0
7.45,219.91,40218.89,6.12,130.31,113.83,12.41,119.05,1.73,0
7.87,165.4,17391.6,4.31,282.91,483.8,2.79,36.86,4.23,0
7.84,228.31,22487.08,8.37,158.94,645.57,5.84,31.84,3.45,0
5.9,137.18,33941.55,4.56,175.43,601.99,6.85,67.95,1.77,1
6.25,155.94,25690.26,1.3,152.07,686.2,3.52,69.09,2.89,1
7.41,281.85,43141.56,0.02,387.35,238.67,20.39,58.38,3.73,1
7.41,143.91,43368.77,6.74,356.39,681.88,25.44,94.91,3.54,0
7.41,183.4,990.58,12.55,169.15,264.39,12.45,66.83,2.71,0
10.08,275.83,39013.29,8.58,198.27,775.47,26.49,77.07,4.6,0
7.46,235.7,23306.31,14.99,162.97,405.18,7.97,89.61,3.08,0
7.91,93.68,49447.61,4.3,247.56,738.91,11.11,12.75,3.02,0
7.76,112.41,24419.99,4.21,105.88,143.08,6.22,72.77,1.25,0
7.52,81.73,49351.35,2.4,301.41,467.07,19.38,107.26,4.69,0
6.75,218.8,37851.18,2.46,256.95,734.53,13.76,11.91,1.71,1
7.61,178.49,12805.94,4.28,369.59,304.18,19.17,54.57,3.11,0
6.38,109.54,27150.55,11.89,149.32,815.76,23.33,111.89,4.21,1
6.81,290.75,49610.71,13.59,341.23,667.7,17.28,48.85,1.86,1
6.61,196.53,42947.77,14.63,337.59,628.81,19.57,60.46,3.11,0
7.07,133.22,5319.66,3.48,138.15,418.19,28.19,117.97,1.96,0
8.85,190.13,35465.41,13.22,219.57,534.21,10.37,31.93,4.04,0
5.51,229.52,17606.19,4.92,151.05,637.61,12.06,17.18,3.26,0
7.55,96.77,845.62,1.69,176.42,525.22,22.1,104.54,4.42,1
5.71,140.43,20472.31,13.05,178.97,728.48,19.12,105.53,4.58,0
6.62,257.53,12120.34,9.54,266.87,490.33,7.0,61.93,3.59,1
7.87,181.13,41034.03,2.47,223.42,282.05,12.53,66.56,3.9,0
7.05,200.25,17197.87,6.45,384.32,292.54,15.1,101.94,3.2,1
6.14,175.22,41462.42,4.31,137.91,105.22,13.74,91.24,2.54,1
6.43,89.66,529.6,11.05,392.11,370.86,6.99,39.17,3.59,1
7.54,116.46,15737.05,6.8,169.19,774.03,27.88,11.86,4.63,1
6.42,178.02,12437.68,14.84,331.86,814.75,23.34,62.77,2.67,1
7.17,126.02,12061.58,0.82,201.69,282.22,15.48,104.48,2.26,0
7.04,91.0,3875.24,5.33,142.92,963.14,21.04,108.54,2.55,0
6.48,265.6,9762.65,7.23,357.37,552.16,27.12,115.18,2.74,0
8.72,295.86,27999.7,7.55,192.66,925.28,5.81,106.75,1.29,1
7.51,254.49,14922.37,4.74,297.66,736.09,9.01,73.8,2.99,0
5.38,267.83,21161.04,10.94,269.93,750.19,17.2,58.91,2.98,1
7.15,133.23,19154.91,13.12,241.53,176.54,24.37,95.23,3.35,1
6.47,291.34,43857.29,14.08,248.75,297.99,3.02,91.38,2.45,0
7.68,123.32,45312.3,12.08,319.67,107.93,29.55,69.2,3.45,1
6.37,289.31,24901.37,12.76,126.33,744.51,14.74,19.61,4.51,0
6.91,298.86,16842.72,8.26,300.45,409.99,12.06,111.87,4.82,1
7.4,236.58,5786.63,12.39,368.74,807.99,10.2,60.12,3.33,0
7.69,295.85,47693.44,4.55,117.34,405.04,6.88,49.97,1.17,1
6.04,205.3,3481.23,5.98,142.2,837.4,24.16,79.25,4.88,0
6.73,137.1,15233.69,4.75,314.99,217.63,28.75,84.12,3.82,0
6.62,176.14,15254.28,7.01,231.18,256.04,13.58,33.18,2.34,1
6.48,210.58,16359.86,4.28,221.06,406.79,28.67,102.06,1.59,1
8.41,96.08,8632.2,14.42,141.09,467.64,25.07,41.89,1.57,1
7.32,216.92,39266.49,4.69,252.03,413.83,15.47,30.54,1.67,0
5.99,295.86,6563.64,1.47,137.96,787.28,20.87,54.7,1.18,0
7.73,121.82,31927.88,7.9,242.99,187.26,14.18,90.36,4.61,1
8.7,254.37,6630.38,0.86,329.08,416.1,17.64,116.2,3.16,0
7.83,279.74,3991.51,1.66,177.48,853.52,3.63,99.02,3.8,0
5.78,287.61,45516.76,3.29,244.24,160.12,21.5,113.44,4.31,1
6.61,291.23,9911.37,6.97,397.6,948.11,3.48,25.47,4.17,0
8.01,194.72,41151.88,6.5,306.0,987.69,24.88,17.83,4.53,0
6.43,295.01,27459.23,12.0,352.41,179.71,25.1,71.35,4.87,0
7.36,246.61,4353.9,11.09,224.45,362.15,8.64,41.93,2.76,1
7.62,115.57,47794.69,6.39,330.36,435.16,11.06,101.09,4.8,0
6.26,184.92,12724.58,5.01,112.15,798.75,15.48,83.92,3.89,1
6.95,238.03,43052.44,4.75,136.87,636.33,18.71,116.78,1.28,0
4.41,134.41,8856.1,11.61,160.92,679.93,10.05,38.03,3.73,0
6.18,220.94,42770.17,0.78,220.59,781.76,18.59,63.44,3.75,0
6.8,226.65,1154.83,0.19,353.72,206.18,10.34,65.14,4.62,0
6.0,115.79,25833.13,11.93,203.88,849.89,3.55,36.31,2.49,0
8.31,204.32,38587.41,7.16,296.39,735.06,2.07,74.91,3.34,1
5.86,249.76,46772.38,1.96,312.79,619.61,4.83,58.76,1.05,0
6.65,189.76,45505.51,3.53,275.85,900.76,24.18,59.14,2.33,0
7.1,82.66,41071.43,13.99,207.17,730.28,28.92,49.9,1.25,0
8.15,81.99,44465.47,12.89,273.12,281.53,13.96,11.86,3.09,0
5.85,158.55,10361.37,10.65,202.68,486.77,16.36,67.43,4.27,1
7.93,283.76,14567.12,7.23,125.16,544.64,6.11,46.88,1.83,0
7.01,130.31,14803.94,7.8,397.84,149.7,17.43,10.15,3.11,0
6.21,219.56,19164.17,14.63,138.15,959.17,6.05,43.87,1.82,0
7.37,128.86,19969.37,14.49,121.7,215.72,19.11,40.65,1.48,0
7.16,150.77,27455.49,3.23,363.56,727.72,28.13,53.28,3.04,1
6.52,266.57,8414.05,12.17,190.55,555.61,7.48,24.5,1.32,1
7.06,240.35,34716.71,2.96,295.09,123.07,23.41,65.85,3.35,0
6.69,100.99,8794.54,3.2,198.7,932.27,2.66,86.17,1.13,0
7.09,174.31,15860.27,10.14,217.44,866.65,12.51,79.32,1.43,0
7.53,86.42,25415.58,6.08,178.63,571.83,5.1,98.41,3.2,0
8.27,185.8,39923.81,13.97,202.91,306.05,11.87,59.72,3.37,0
6.01,225.74,37103.73,1.34,223.21,209.46,6.86,67.1,1.12,1
8.71,106.07,32453.95,7.67,316.12,427.05,12.45,99.14,3.29,1
5.44,143.55,8210.78,13.78,253.46,329.89,13.69,57.05,4.35,0
6.88,167.52,27578.74,13.56,383.07,556.02,10.42,87.18,3.89,0
7.47,282.3,4828.6,2.35,112.56,969.77,20.39,57.81,1.52,0
7.22,298.52,19179.48,5.5,250.92,617.46,27.73,55.95,3.37,1
6.5,89.88,20969.07,9.29,275.27,900.94,13.22,93.62,3.69,0
6.83,247.42,2470.67,2.39,376.06,685.79,7.39,29.23,1.15,0
6.61,161.78,14062.41,14.52,114.75,527.72,9.58,47.24,4.42,1
6.53,166.34,47804.65,13.72,272.05,869.15,25.91,34.66,4.63,1
7.68,245.94,47704.81,2.5,356.09,524.23,18.01,49.5,4.4,0
7.29,282.05,17940.19,1.82,172.58,881.77,14.74,35.34,4.3,0
6.45,289.2,2633.46,1.28,362.89,362.42,6.19,73.73,3.98,0
7.72,206.97,9365.2,13.64,105.71,215.93,14.59,97.8,3.53,0
7.25,158.57,19914.78,2.9,319.74,869.78,9.8,96.53,3.71,1
7.65,253.26,47415.1,6.24,379.93,628.67,28.41,50.1,4.23,1
7.5,135.22,7489.35,6.73,297.16,900.18,26.75,118.76,3.65,0
6.34,204.1,38294.03,8.99,231.71,944.04,4.35,75.32,2.31,1
6.55,158.89,5879.79,1.08,113.46,148.27,16.47,53.93,2.5,0
7.6,224.46,49072.25,3.4,376.03,550.87,8.3,101.91,4.59,1
7.49,132.89,19390.02,13.97,241.09,437.47,13.5,90.29,1.07,0
6.98,122.15,38874.11,13.63,108.7,663.27,26.55,92.42,3.8,0
7.09,282.01,17458.26,11.72,306.95,814.23,16.77,31.58,4.82,1
8.02,102.4,31569.61,0.29,244.55,352.53,11.36,61.52,3.82,1
6.53,191.31,10004.8,4.91,137.3,601.12,7.82,104.8,4.98,1
7.44,128.59,7728.04,9.42,164.28,737.86,24.41,65.44,3.75,1
6.84,88.56,46934.17,4.13,119.35,220.99,19.49,85.18,1.14,1
6.83,87.92,45923.54,13.64,272.29,832.66,15.11,74.67,4.31,0
7.88,118.55,44429.71,9.51,286.61,645.5,8.09,102.66,2.14,0
7.66,270.69,31458.96,1.08,251.72,954.58,11.36,41.3,2.78,1
7.65,142.15,40509.28,13.64,345.13,405.58,28.88,73.3,2.25,0
8.04,289.1,3917.33,14.37,358.3,197.33,16.56,23.56,2.07,0
7.02,207.96,17072.06,1.17,284.69,555.85,13.22,85.92,2.73,0
7.55,176.06,16028.3,7.99,103.83,177.23,16.6,90.52,2.52,0
6.75,207.62,31964.44,4.55,308.57,972.57,23.81,14.71,3.53,1
7.26,193.67,18119.91,5.89,225.4,134.82,11.52,84.34,4.25,0
6.9,246.93,7851.09,2.69,269.67,778.15,7.0,55.62,2.19,0
7.08,142.15,30025.12,8.67,294.72,572.59,18.38,23.65,1.85,0
7.48,157.67,40812.0,14.37,205.07,431.76,20.63,56.19,3.67,0
6.35,276.7,19415.11,7.55,375.13,159.26,21.96,31.37,3.68,1
8.67,288.22,7047.3,1.24,140.19,659.95,26.7,55.71,4.6,0
6.2,276.36,10236.07,9.3,301.45,626.7,12.39,52.28,1.06,0
6.03,172.28,12255.42,5.1,101.31,352.79,4.11,91.22,4.41,0
7.93,251.68,15344.93,12.84,377.4,919.2,28.83,95.16,3.08,1
7.63,184.79,32318.36,6.52,133.75,373.7,14.18,76.77,3.49,1
7.5,189.46,30246.8,2.89,128.47,504.75,19.45,12.5,1.37,0
7.5,125.03,34955.95,2.87,199.9,589.39,20.66,112.41,2.73,0
6.99,210.05,18443.85,11.53,212.07,190.21,17.3,85.49,1.91,1
6.28,120.95,41287.88,3.98,164.29,938.95,7.75,13.76,2.02,0
7.06,152.94,10602.34,11.51,275.54,437.08,23.14,100.07,3.02,1
6.46,268.11,23717.52,3.09,232.87,172.7,24.51,32.03,4.25,0
7.78,125.56,40146.47,4.83,110.25,448.56,17.48,73.71,3.98,0
6.88,95.65,9417.85,6.98,195.9,640.18,15.68,61.33,3.36,1
6.34,95.18,5938.22,14.15,343.13,562.29,5.19,56.18,3.16,0
6.74,286.97,44242.36,13.98,306.91,725.09,4.35,107.87,2.71,0
7.33,191.52,17475.02,3.1,317.46,149.94,11.51,58.11,4.89,0
6.55,170.07,34351.57,5.37,309.44,356.09,10.7,18.29,3.24,1
6.34,258.39,1754.76,2.24,193.29,837.31,28.7,114.13,2.02,1
7.19,263.88,34657.32,7.65,129.9,171.9,23.94,111.26,1.92,0
7.2,153.08,16147.01,6.91,181.74,869.94,20.48,85.29,3.45,0
6.59,232.6,3259.17,13.51,349.54,182.71,16.49,61.47,3.09,0
6.62,249.65,30685.73,13.95,394.14,851.01,6.69,20.21,1.03,0
7.19,224.02,12419.79,5.75,248.15,424.71,29.4,96.98,4.32,1
5.84,113.35,19646.96,7.38,102.91,650.99,12.5,18.3,3.82,1
5.87,272.69,4488.75,13.44,142.01,237.6,4.99,17.55,3.65,1
6.43,198.6,7784.58,12.1,196.62,159.55,15.83,69.11,1.28,0
6.83,142.14,15249.87,0.05,273.58,294.34,26.47,27.61,2.45,0
7.25,173.55,4943.1,4.8,122.53,215.07,26.84,10.85,4.74,1
8.18,88.27,45585.9,6.33,383.01,381.17,2.31,56.54,4.45,0
7.69,108.13,799.33,3.45,209.53,562.94,26.82,25.09,2.14,0
6.87,248.42,24451.08,2.99,373.78,629.88,9.6,27.66,1.63,1
6.98,80.0,6600.75,0.57,334.16,810.88,3.09,18.46,2.8,0
6.2,171.64,15730.11,9.65,326.63,690.62,25.74,32.56,2.42,1
