pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.31,249.42,36432.45,2.16,159.79,216.37,4.83,17.35,1.35,0
6.96,188.71,25745.35,3.34,408.29,909.84,23.44,32.98,4.26,0
7.1,153.73,44128.01,7.27,201.58,201.78,18.86,91.77,1.63,0
7.79,151.25,43289.56,1.91,225.08,628.37,16.0,21.05,2.4,0
6.51,103.45,12394.47,2.27,139.95,911.19,5.54,85.51,1.97,0
7.04,266.56,13647.71,2.42,332.5,671.14,7.38,58.46,4.8,1
8.88,249.53,36365.4,5.18,310.42,312.77,19.2,28.74,3.6,0
7.33,308.33,39131.49,11.33,371.24,712.79,19.5,83.76,3.56,1
7.41,243.24,46836.43,0.76,150.93,769.07,10.86,99.32,2.4,0
7.37,208.28,26936.79,7.12,125.75,352.47,7.37,104.78,4.36,0
5.55,164.81,41790.79,3.1,194.09,632.99,19.36,114.38,1.25,0
6.79,159.72,9243.06,10.12,372.93,268.46,7.19,63.43,3.56,1
5.18,222.28,2508.44,8.62,141.17,876.39,11.93,98.6,4.09,0
7.73,140.84,12801.62,2.9,97.61,942.06,15.27,106.37,1.29,1
8.45,199.03,29995.11,13.15,409.13,739.44,6.64,48.28,2.26,1
6.55,239.3,19564.27,6.3,382.61,776.22,7.23,88.58,2.31,1
8.5,111.39,31805.41,8.51,377.19,358.19,21.46,24.86,3.32,1
6.05,202.96,9693.55,0.83,268.66,773.44,23.19,31.21,1.55,1
5.99,248.42,18172.41,7.96,183.34,848.58,11.38,35.69,3.91,0
7.47,303.1,2396.66,11.98,408.13,945.12,5.5,57.42,3.24,0
6.31,134.01,46522.16,9.09,121.28,339.9,19.59,29.76,1.75,0
6.58,306.25,11727.08,3.42,244.43,978.91,20.33,45.69,1.8,1
7.92,226.46,26824.88,5.52,313.97,429.64,23.68,20.44,4.54,0
6.17,206.94,26559.27,6.13,178.19,682.91,17.48,54.87,1.33,1
6.76,314.45,15310.01,9.13,138.54,217.0,10.13,72.08,1.25,1
6.9,107.04,4738.9,6.03,299.29,836.21,17.03,77.72,4.72,0
7.32,231.23,38961.18,8.93,290.68,637.6,21.74,28.75,4.45,1
7.62,146.35,1463.39,12.55,273.12,258.23,23.48,87.69,2.26,1
6.91,138.1,17225.91,10.2,284.0,512.85,27.95,91.93,1.21,0
5.98,233.93,36881.79,8.36,239.86,851.84,23.75,24.75,3.49,1
7.86,132.77,22830.92,1.44,350.94,341.81,27.72,87.36,4.08,0
9.44,283.19,18865.81,9.97,138.59,588.12,18.16,68.94,1.5,1
7.7,124.74,31749.5,13.26,160.39,688.72,19.6,12.69,3.11,1
7.48,108.68,22588.91,0.59,128.97,436.34,5.24,29.68,4.37,1
6.68,307.48,33254.59,3.16,376.16,122.02,3.44,92.22,4.63,0
6.79,152.54,14546.62,11.98,160.02,754.22,21.54,11.97,1.43,1
5.82,119.82,32825.27,9.71,243.8,574.5,15.67,23.11,2.15,1
7.52,95.52,23366.59,6.69,348.67,432.13,4.98,68.53,1.24,0
6.88,151.75,31580.53,9.59,314.97,977.06,8.5,50.68,2.97,1
8.09,191.52,32263.07,0.55,232.0,382.56,13.35,58.26,4.14,1
6.12,280.48,8535.02,6.76,187.71,379.38,17.31,70.95,2.51,0
8.16,208.98,38764.55,13.42,143.8,705.71,17.23,73.05,3.07,1
6.74,118.61,27750.26,5.88,160.97,174.76,14.58,70.59,4.26,1
6.48,315.48,18296.62,7.23,347.91,168.52,10.97,92.76,4.44,1
6.59,210.2,42285.44,4.59,189.35,663.31,3.92,75.66,2.39,0
6.48,301.46,33717.81,4.34,114.43,847.41,7.0,70.37,4.16,1
5.22,96.65,33000.64,12.78,327.44,332.18,17.19,18.06,2.43,0
7.54,140.86,990.6,12.72,328.62,711.72,7.39,44.36,2.23,1
7.66,288.19,21327.02,11.62,175.63,896.15,14.46,14.96,2.06,0
8.09,124.13,33927.85,12.16,102.88,455.1,24.89,49.45,1.38,1
7.6,175.53,34814.83,1.68,378.6,241.18,8.53,19.23,1.25,0
7.56,217.52,47874.72,12.5,167.5,341.71,18.1,113.18,1.61,0
5.57,307.79,8221.16,8.51,374.31,258.77,14.41,73.57,1.28,0
7.16,126.58,40213.68,7.19,223.01,814.61,21.9,19.18,1.38,0
6.04,177.92,47545.94,10.83,179.67,165.43,12.09,10.86,4.42,0
6.76,254.89,28650.33,2.59,219.8,208.49,8.75,76.89,1.92,0
8.19,149.51,21818.55,9.86,226.34,544.79,8.34,35.7,2.08,1
7.03,311.81,6156.85,1.19,148.87,213.25,26.85,58.98,2.9,1
4.78,236.15,27372.23,3.44,400.7,518.22,14.78,65.45,1.64,0
6.15,163.42,3898.91,2.86,111.65,881.81,9.96,76.44,4.45,0
6.52,174.17,19512.99,5.15,173.29,649.43,4.06,52.22,4.0,0
6.81,232.94,34920.14,1.54,199.78,808.5,8.59,58.74,3.45,1
7.8,206.04,37213.24,9.36,182.08,954.87,18.48,99.66,1.76,1
7.71,93.51,29514.81,11.08,192.04,284.16,10.03,34.07,1.81,0
7.69,94.35,11724.56,10.89,165.83,728.11,17.65,98.7,2.62,1
7.2,222.21,26479.99,3.04,309.55,512.53,22.01,45.81,1.53,1
6.75,265.14,12247.76,10.75,178.17,744.81,26.31,28.2,2.34,0
6.69,300.4,44564.06,10.39,275.49,205.37,4.66,65.76,4.59,1
7.37,264.47,24741.95,1.22,405.1,893.18,23.04,106.85,1.58,0
7.79,243.9,16964.9,11.15,171.49,352.31,21.11,34.44,1.36,1
8.32,242.0,43244.93,12.12,362.91,336.24,14.76,20.51,2.17,1
7.08,167.24,47428.69,6.04,310.48,799.96,21.99,55.38,3.3,1
7.25,157.09,41473.2,3.18,335.43,412.98,21.17,55.97,1.32,0
8.26,213.53,41255.09,13.26,326.54,826.72,18.16,110.75,4.04,1
6.08,284.21,4839.19,12.0,118.09,508.57,12.47,59.64,4.59,1
7.7,253.51,47228.7,9.02,201.61,605.25,8.32,74.15,1.95,0
6.33,310.19,48828.24,13.22,212.29,244.78,11.79,84.67,2.52,0
8.35,90.39,30079.2,1.53,405.66,201.11,20.72,39.95,1.93,1
8.2,313.76,3888.18,0.81,395.86,173.49,16.47,111.21,1.76,1
8.4,127.92,26073.56,7.03,131.25,768.48,10.42,59.9,2.63,0
8.31,275.84,18460.65,3.75,274.85,543.6,6.63,26.26,2.01,0
7.71,101.02,41828.04,6.43,101.07,286.43,19.82,54.75,4.58,0
6.13,198.09,31541.59,6.8,361.27,783.44,20.09,54.45,4.07,1
7.42,190.96,45235.4,12.25,394.25,157.71,19.59,67.52,3.74,1
7.76,193.22,35474.51,1.07,382.75,857.32,8.12,39.13,2.28,0
7.41,306.22,17946.33,9.09,207.65,433.71,3.73,28.72,3.73,1
6.9,186.91,28028.73,10.23,378.16,403.67,6.49,60.09,3.24,1
7.13,304.6,39298.47,7.27,266.76,188.77,11.52,31.95,1.28,1
7.33,284.07,4020.83,4.08,112.69,486.5,7.92,91.17,2.42,1
6.13,230.51,9683.67,8.14,373.43,753.41,13.99,80.22,4.74,0
7.58,111.25,27436.9,11.07,111.3,328.85,7.15,56.59,4.55,1
7.47,102.45,27329.74,6.48,181.97,768.14,15.1,77.42,4.35,1
6.89,259.83,1525.4,1.94,128.4,955.75,12.25,79.19,3.53,1
7.57,303.03,1857.63,12.88,377.27,471.98,25.8,82.61,2.01,1
7.99,232.4,41755.58,10.85,291.24,434.19,8.72,57.97,3.9,1
6.14,235.41,40726.67,4.1,304.09,400.86,6.99,15.07,1.23,0
8.25,260.87,20175.7,10.84,139.47,404.71,16.0,42.42,4.15,0
7.86,207.1,707.77,9.83,364.15,270.42,21.41,27.45,2.38,1
7.86,156.93,13196.49,0.68,173.03,635.94,23.36,54.9,3.58,0
7.85,234.7,45278.9,2.99,357.43,707.95,16.28,81.03,2.43,0
7.61,90.47,34110.8,10.77,332.63,410.29,10.55,69.38,3.84,1
7.0,227.93,23836.62,7.46,116.32,259.57,17.84,94.82,3.78,0
6.38,226.38,23644.83,6.2,289.22,973.61,3.36,92.15,2.14,1
7.44,234.24,6296.67,11.9,210.74,945.06,11.05,55.69,4.7,1
7.11,240.27,8008.28,10.77,126.34,445.51,27.54,87.09,1.88,0
6.41,120.4,22224.67,4.83,186.63,202.34,20.74,39.95,2.29,0
8.5,139.56,36573.32,8.29,312.21,482.63,18.83,22.82,4.57,1
7.71,223.98,14329.56,6.61,128.36,776.39,15.35,30.21,1.61,0
6.74,104.52,6393.09,12.87,317.1,400.92,22.21,21.18,1.21,0
5.66,171.48,34381.71,10.46,390.05,916.45,4.52,94.94,1.44,0
6.29,190.41,44997.13,7.48,331.05,904.94,14.79,24.37,4.53,1
7.42,181.04,19792.45,12.84,286.25,483.0,20.16,92.92,2.33,1
6.78,229.67,20874.07,13.48,159.54,436.29,6.73,18.92,3.11,1
5.88,252.93,32583.84,3.5,190.69,968.76,15.81,112.77,4.54,0
7.23,181.48,43718.66,3.83,193.71,564.46,7.58,36.01,2.83,1
6.87,266.43,47993.62,11.77,202.09,330.84,21.29,97.08,1.55,1
6.66,305.74,14198.43,3.86,384.41,746.13,24.3,106.06,4.05,0
5.94,281.33,46808.75,1.75,398.27,218.54,7.76,30.74,2.62,1
7.28,177.97,31563.85,5.68,369.99,966.85,24.54,96.34,1.36,0
6.09,237.54,15412.39,4.09,344.03,494.52,22.7,44.54,2.84,1
6.82,280.6,39529.18,10.11,365.8,365.09,21.97,110.43,2.56,0
7.99,295.24,15078.17,3.54,405.21,590.65,14.11,21.02,3.71,1
8.06,314.8,2466.21,5.66,350.22,235.81,25.74,76.63,3.0,1
6.89,306.82,14204.27,5.25,113.58,849.74,15.29,89.78,2.69,1
4.38,234.93,44690.15,5.76,362.44,435.3,24.95,54.69,2.13,1
7.64,254.75,9084.53,5.13,390.23,422.64,11.31,105.26,3.4,0
6.21,116.81,14610.74,10.1,350.38,639.91,19.69,86.07,4.41,1
5.82,203.44,16733.45,7.06,356.31,794.21,24.47,11.44,1.74,0
7.63,158.58,36231.38,6.92,231.33,591.04,13.45,48.66,2.6,0
5.43,302.73,18338.65,5.33,367.72,973.24,21.21,102.71,2.66,0
7.61,271.68,27077.7,12.66,280.44,232.68,26.99,96.8,2.73,0
7.77,97.38,34392.99,9.12,251.65,632.04,12.02,49.83,4.46,1
7.43,126.97,38619.58,2.04,224.4,906.42,12.32,63.13,1.29,0
7.18,167.5,9614.22,3.14,133.55,783.0,26.94,64.35,3.83,1
6.9,141.39,19134.02,7.45,237.8,831.92,3.22,28.37,2.31,1
6.59,272.48,41600.87,9.65,321.78,265.75,6.73,90.83,4.76,0
6.08,202.79,46784.99,9.56,301.99,259.49,5.25,69.5,2.8,0
9.01,238.09,10487.09,8.63,273.57,537.68,3.31,103.63,3.81,0
6.62,96.67,2948.37,3.5,189.05,148.48,7.38,57.29,1.63,0
6.22,152.99,4909.49,11.82,182.47,350.47,16.71,95.12,3.03,1
6.92,219.6,45571.25,6.88,367.59,777.21,24.16,78.95,3.71,0
7.49,234.88,25299.48,4.94,211.47,699.02,20.71,37.5,1.41,1
7.87,89.66,23878.39,11.89,223.18,288.39,23.2,106.96,4.27,1
6.81,307.07,46650.84,2.98,384.79,910.71,23.47,12.04,1.9,1
6.84,229.8,23348.41,2.03,97.69,531.37,16.65,109.07,1.46,1
6.32,189.57,41098.06,9.33,214.45,925.19,8.78,19.28,4.61,0
6.78,151.9,30988.98,9.32,92.47,569.42,13.31,89.24,3.18,0
7.74,251.67,24623.31,9.74,265.75,592.72,10.07,22.81,4.41,1
6.95,256.68,45367.76,3.26,114.96,805.44,8.71,50.94,2.38,1
6.69,119.74,34567.64,7.76,289.91,469.48,3.9,110.96,4.33,0
7.15,285.82,32783.44,5.55,208.22,281.42,8.22,83.88,3.42,0
6.34,301.56,25393.86,4.02,330.19,441.49,19.59,64.21,4.21,0
5.17,241.48,33510.52,4.49,220.03,514.9,11.54,79.47,3.6,1
6.59,194.56,12499.58,9.42,222.76,537.62,26.93,85.47,1.65,1
4.46,285.58,12105.09,5.7,100.03,864.66,26.6,26.59,3.76,1
6.78,176.15,29718.84,6.36,164.9,185.29,9.07,105.22,4.58,0
7.35,190.5,20731.36,11.93,307.77,427.18,22.19,60.32,3.51,1
7.84,123.93,3441.29,3.63,91.34,487.82,25.35,92.05,2.66,0
7.45,162.06,5546.19,12.33,274.0,264.76,21.87,33.1,2.89,1
7.03,258.61,13923.06,3.43,220.64,566.93,20.54,68.19,2.59,0
6.13,309.65,29099.19,12.4,343.65,920.26,17.34,106.19,4.63,0
6.07,223.97,24172.25,5.51,103.6,934.06,20.37,95.37,4.47,1
6.82,291.9,1040.37,6.62,188.63,380.61,26.93,101.44,4.1,0
6.26,122.34,22729.11,7.03,201.0,241.71,10.42,77.93,2.11,1
6.18,191.98,5078.14,3.72,266.18,502.92,25.58,64.58,4.74,1
7.04,87.73,41895.95,9.05,381.62,956.04,13.82,59.45,3.54,1
6.28,123.48,14620.87,6.92,318.38,254.47,16.65,93.62,2.72,1
5.46,163.4,20884.72,5.97,214.41,662.08,23.32,27.29,1.22,1
6.81,104.52,32916.89,5.81,204.55,235.71,20.53,111.51,2.46,1
6.19,125.51,39294.6,2.83,403.48,535.89,13.04,61.38,1.21,0
7.44,188.06,17040.7,2.98,342.3,168.18,13.77,104.97,4.59,1
8.1,93.4,7179.39,6.08,391.81,190.65,15.43,29.7,4.63,1
7.65,101.34,18090.13,5.61,268.32,464.52,8.59,56.71,3.79,1
7.37,249.95,17508.05,6.72,317.26,690.49,12.95,87.12,2.73,0
8.16,227.59,16330.29,8.23,324.58,388.14,18.52,36.43,1.42,1
6.17,210.19,1184.01,7.41,171.83,422.06,4.22,94.96,4.23,0
6.51,139.93,32310.39,6.76,196.92,261.4,6.04,104.64,2.06,1
7.16,198.92,14158.21,2.23,117.75,541.22,22.06,55.59,2.07,0
6.66,242.13,45120.98,8.89,218.14,352.95,15.6,51.69,2.41,0
7.12,162.84,44760.58,4.81,384.01,872.4,22.24,41.19,1.48,0
6.68,235.38,25608.06,1.4,101.43,940.81,26.24,76.7,1.57,0
6.78,253.35,11383.33,1.93,211.66,717.19,15.01,109.63,3.89,1
6.64,125.68,18735.64,7.83,209.65,187.15,26.88,92.82,1.85,1
7.63,289.66,21414.68,5.06,108.42,406.02,18.79,42.14,1.38,1
6.84,223.3,37884.45,7.54,313.81,967.31,10.83,51.44,2.39,0
5.89,201.55,34914.14,6.98,341.07,797.0,15.62,79.17,3.05,0
6.9,153.66,21727.73,3.77,178.96,334.39,15.54,67.29,1.77,1
6.48,127.06,37546.13,1.27,103.11,816.44,10.91,114.3,3.89,0
8.23,265.94,32894.73,6.26,143.52,689.15,13.38,63.18,1.91,1
7.31,241.42,5539.68,2.47,236.85,278.73,7.02,42.76,1.32,1
8.08,94.42,36919.35,1.76,233.67,919.13,20.31,76.52,2.58,1
7.09,184.77,25949.06,7.86,343.64,394.17,24.0,66.64,3.67,1
7.78,103.36,12815.09,9.38,202.84,841.84,13.76,13.52,2.6,1
7.65,118.04,30048.77,8.32,155.3,418.5,18.06,92.22,3.09,1
7.47,114.85,34795.7,6.03,126.61,734.22,18.33,81.23,2.85,1
5.52,194.99,35440.78,8.69,376.21,979.84,10.64,85.08,1.55,1
7.17,139.35,48636.37,13.25,220.87,177.66,10.97,16.58,3.41,1
8.16,310.03,24497.87,5.52,137.65,860.81,21.64,20.78,4.66,1
7.01,184.34,28935.09,0.77,206.55,331.54,13.74,63.28,3.74,0
7.99,294.16,29228.33,12.34,96.44,647.55,5.83,19.75,2.08,0
6.59,112.6,45225.46,8.29,257.77,860.9,25.43,68.09,1.49,1
6.74,317.38,5649.6,1.63,370.71,691.89,12.38,64.09,2.15,0
7.59,303.5,28914.95,1.67,348.47,442.17,22.69,44.05,1.47,1
5.8,130.29,22462.53,12.09,106.55,145.98,15.41,114.36,2.62,1
8.42,135.73,1977.57,6.68,188.35,483.29,27.4,94.53,2.4,1
6.77,93.69,30734.9,7.07,409.89,235.79,24.56,70.77,2.53,1
8.12,116.48,43855.56,9.58,325.85,958.87,19.91,102.59,1.86,0
6.49,273.64,46402.93,12.93,120.1,310.63,7.44,75.02,4.38,1
7.64,135.08,19293.82,4.09,323.08,217.16,17.56,48.36,2.24,0
6.65,280.82,43547.2,1.32,157.28,805.05,18.84,103.08,3.72,1
5.69,105.48,36506.62,1.64,245.14,168.69,21.87,99.77,2.84,0
6.64,168.74,6202.8,8.22,384.45,512.99,11.54,54.3,2.53,1
6.9,274.4,37368.68,9.18,239.09,318.45,23.59,105.44,1.61,1
7.41,230.95,24778.18,4.25,316.01,396.01,26.75,104.02,4.2,1
6.33,193.22,39690.46,0.8,297.96,155.18,6.8,55.39,3.32,0
7.44,317.98,24639.28,1.67,152.1,467.26,15.95,25.1,2.81,1
6.78,138.84,16306.15,2.57,147.94,386.78,25.8,76.52,3.92,1
5.32,173.89,27092.69,6.22,236.02,216.68,15.96,35.04,1.77,1
7.84,196.26,18690.07,2.55,121.17,747.03,13.15,86.8,2.76,0
7.92,143.88,24941.6,10.46,277.33,403.44,24.77,63.93,2.57,1
6.7,138.0,45277.55,9.42,263.32,950.7,22.0,45.55,3.62,1
6.84,178.14,20051.19,2.17,165.04,490.36,17.88,32.84,4.28,1
6.55,114.81,47155.94,8.06,323.26,642.48,19.7,72.02,1.54,0
7.32,204.23,44492.4,2.04,99.91,322.22,12.96,43.24,2.65,1
6.5,233.27,35751.01,7.0,117.95,814.06,5.19,113.4,4.73,1
7.71,266.26,43934.09,1.6,167.79,558.45,20.86,25.4,1.25,1
6.88,129.5,24283.27,12.4,137.08,208.75,25.97,31.31,3.6,0
5.9,221.42,41437.99,3.34,175.85,515.76,3.79,60.77,1.96,0
7.58,313.61,12726.0,11.82,158.27,926.42,20.63,74.25,2.16,0
7.4,96.48,39358.05,13.47,110.4,812.29,8.95,101.08,4.66,0
5.43,111.53,30649.77,12.09,213.75,139.55,4.79,109.23,2.32,0
7.16,159.13,48239.18,5.05,195.02,708.3,11.93,82.37,4.57,0
7.48,100.05,42301.35,7.44,353.13,971.13,18.81,95.1,2.93,0
6.92,191.31,16342.43,8.17,237.0,469.25,12.63,10.75,1.91,1
6.59,166.5,20702.11,3.33,140.93,592.54,19.81,112.46,2.56,0
8.04,167.9,2732.33,8.71,177.27,937.4,5.67,70.77,3.16,0
6.44,138.84,2627.84,12.47,368.27,813.12,10.89,111.97,3.07,1
8.48,196.92,36188.27,4.61,114.08,955.92,18.48,14.07,4.79,1
6.39,152.86,15064.61,10.07,260.3,551.81,19.9,12.98,1.96,0
7.8,247.5,33415.16,0.74,152.14,490.83,24.6,20.63,2.57,0
8.53,139.02,2178.78,4.13,294.39,439.82,20.49,56.16,3.84,0
5.91,301.35,11584.47,12.06,178.88,710.69,4.72,112.97,2.76,0
7.41,290.43,23037.96,9.55,344.43,641.4,25.38,48.71,2.4,0
6.39,251.53,5793.99,6.52,322.29,787.18,3.99,93.16,4.46,0
7.68,231.56,26135.61,3.25,320.58,250.14,14.04,43.64,1.42,1
8.22,146.66,26100.37,4.05,210.12,370.28,22.54,57.75,3.28,0
8.51,224.04,8025.46,5.81,155.85,181.93,25.28,65.12,2.54,1
7.87,143.64,11884.01,1.89,335.14,122.97,26.08,56.71,3.28,1
6.72,149.44,35298.89,13.07,229.29,399.19,18.23,12.35,3.29,0
7.61,233.38,14772.9,2.47,198.77,343.66,23.42,41.93,1.97,1
9.24,296.09,4881.94,11.81,159.26,762.41,9.1,75.15,1.52,1
8.07,184.47,38436.16,3.14,275.36,126.81,15.39,58.81,4.17,1
8.9,293.24,22786.02,11.68,223.5,784.41,21.33,70.82,2.25,1
7.99,134.39,15687.06,13.26,221.87,777.49,5.83,54.72,3.7,0
6.0,194.95,35343.87,13.34,319.5,739.29,22.68,38.17,1.84,0
6.78,211.73,26563.04,3.07,237.18,555.49,8.26,64.27,3.73,0
7.62,253.22,33680.54,3.79,258.18,144.16,5.75,105.69,1.43,0
6.22,182.28,36711.23,3.71,293.28,602.14,24.48,72.91,2.57,1
7.61,218.4,40382.28,13.04,314.4,501.85,27.77,27.23,3.08,0
5.38,151.55,19849.18,9.66,253.48,539.14,7.78,26.28,3.85,0
6.96,233.45,10841.52,6.1,301.7,630.27,27.84,26.55,2.59,1
7.52,209.98,48562.78,4.15,350.9,142.62,20.83,48.64,1.29,1
5.45,304.1,30161.87,2.43,121.08,734.82,26.74,73.1,3.4,1
7.49,189.98,41130.76,6.61,368.56,555.1,21.51,109.69,4.07,0
7.8,180.45,27043.35,11.58,102.37,691.01,16.77,43.6,4.42,0
7.82,218.05,29874.87,1.18,213.48,501.52,22.4,57.16,4.35,0
5.64,270.35,14167.98,3.31,310.72,394.29,10.32,59.77,2.35,1
5.82,238.38,39373.83,11.4,191.12,716.5,13.56,14.4,2.47,1
8.01,109.4,12418.18,10.05,313.27,945.38,27.92,111.87,3.08,1
8.01,230.27,45372.85,6.3,396.01,860.35,5.57,100.96,2.29,0
6.14,201.53,27755.08,6.51,384.19,283.24,27.13,62.86,1.85,0
5.91,284.59,6212.55,12.46,225.72,300.49,12.07,69.13,2.98,1
7.87,115.05,34003.12,5.56,102.9,829.28,22.97,8.85,3.61,1
5.38,239.48,12743.45,5.48,146.0,535.36,3.6,112.07,1.93,1
7.61,298.11,1779.36,3.3,229.84,535.55,23.63,33.51,1.61,0
5.64,300.98,24085.79,10.57,341.47,324.35,10.46,8.36,4.5,0
5.82,214.19,23781.93,1.27,264.61,703.42,23.44,114.0,2.07,0
7.12,149.61,20083.74,4.05,106.41,248.74,22.87,38.17,2.53,1
7.61,116.36,37654.23,5.17,134.64,585.54,23.78,102.99,1.61,0
7.63,312.61,4116.46,7.79,141.55,196.02,26.7,62.9,1.65,0
7.16,98.51,2381.21,7.43,350.13,659.35,6.96,36.27,2.32,0
6.29,138.89,5464.19,4.31,153.86,852.7,27.39,14.88,4.48,0
6.34,103.01,6947.84,11.16,272.27,237.74,24.25,92.98,1.2,0
7.23,301.69,33626.04,13.46,105.34,164.82,5.13,85.52,1.25,1
7.61,167.84,38565.81,2.36,352.4,529.46,5.51,90.22,2.4,0
6.26,233.39,13095.95,8.3,253.03,203.58,14.4,10.42,1.7,1
6.43,146.04,1126.91,1.87,231.64,755.47,15.46,21.81,4.6,1
6.5,124.57,23959.64,3.53,230.93,150.15,8.12,79.67,2.31,1
7.05,198.7,12207.02,6.91,389.36,806.38,25.61,34.52,3.57,1
6.21,154.66,3834.69,1.28,205.51,321.28,9.35,71.98,1.67,0
6.99,203.8,28815.35,8.75,331.18,276.17,24.8,65.48,3.85,1
7.18,265.31,14479.0,7.53,98.69,766.22,11.35,30.23,1.64,0
7.44,288.2,31002.05,11.27,94.89,228.81,9.56,42.33,3.63,0
7.39,104.41,39186.41,3.94,211.36,644.29,11.16,102.78,3.12,1
5.94,111.13,24796.98,1.71,151.04,520.28,13.18,61.32,3.32,1
7.06,111.23,22730.1,10.07,91.73,571.13,21.49,61.31,4.32,1
7.38,230.29,45793.0,13.18,381.8,642.27,18.13,105.03,1.28,0
6.42,131.83,23322.6,10.36,176.45,453.59,5.34,33.31,4.18,1
6.67,275.05,16068.76,8.3,96.97,287.81,16.3,48.85,4.2,1
8.19,290.92,44986.45,1.1,389.15,709.91,18.0,69.42,2.74,0
5.33,102.6,15390.67,7.16,144.73,481.79,11.43,112.22,1.71,1
8.85,194.01,45772.88,12.92,198.45,295.69,27.85,89.61,2.29,0
8.04,253.36,5424.01,3.41,346.36,432.21,9.25,33.8,4.33,0
6.75,162.73,17458.73,7.95,409.68,521.05,9.75,68.94,2.43,0
8.39,137.12,1646.39,7.16,388.61,779.03,11.0,61.23,1.95,0
6.19,256.12,4924.67,6.51,385.67,193.58,16.08,71.76,2.84,1
7.45,186.37,13409.43,2.62,161.37,144.88,14.86,36.1,2.38,1
5.82,200.76,36781.88,5.97,203.87,801.21,13.99,46.82,3.79,1
8.34,309.77,37940.39,1.36,326.2,129.48,5.51,18.53,2.95,1
6.46,187.83,13319.88,0.81,342.96,181.42,27.91,64.03,4.77,0
7.74,270.21,12204.24,1.94,251.82,917.87,15.76,28.62,3.46,0
7.19,188.48,39442.78,4.92,151.07,188.07,5.92,110.32,2.63,0
6.69,203.87,39647.76,2.7,384.6,969.91,19.67,88.7,4.38,1
6.55,150.96,13166.29,2.71,300.61,724.12,7.38,94.91,4.42,0
9.17,276.72,36328.18,7.13,138.02,845.24,4.55,37.19,4.21,0
6.44,310.52,27771.72,5.76,195.82,431.03,16.1,110.88,2.7,1
7.46,221.12,19547.86,4.1,398.32,620.39,15.56,113.51,1.27,0
7.59,158.01,29096.26,7.46,253.25,187.48,16.92,32.95,3.59,0
7.99,236.45,18147.46,9.47,143.97,934.17,11.07,30.02,1.52,0
7.96,126.28,17786.58,5.99,136.01,528.98,4.11,92.2,2.47,0
6.08,160.05,29482.13,10.37,103.63,371.26,5.98,14.4,2.22,1
7.01,177.66,27042.73,12.1,243.2,292.7,4.83,27.27,2.25,0
7.59,172.73,24800.62,9.21,350.19,294.08,22.59,97.63,2.4,1
7.28,306.47,21204.83,12.02,137.41,335.79,20.16,39.99,2.2,1
6.43,286.61,4355.43,2.11,281.32,639.96,16.11,84.14,4.62,1
6.62,180.89,6798.21,3.59,357.41,371.12,15.18,68.76,4.11,0
6.97,308.26,35090.72,3.24,112.25,707.48,15.89,45.85,1.35,0
6.05,185.5,13747.33,12.19,321.97,257.27,3.35,34.77,2.91,0
6.98,207.25,31515.14,11.28,165.31,751.11,17.59,49.47,2.97,1
7.52,176.03,21609.46,11.07,122.77,380.39,23.49,55.4,2.57,1
